label|description|prevention|treatment|example_picture
Corn_(maize)___Northern_Leaf_Blight|"Northern leaf blight is caused by Exserohilum turcicum. It produces long cigar-shaped grayish-green to tan lesions on leaves that can cause significant yield loss."|"Plant resistant hybrids. Rotate crops to reduce soil inoculum. Avoid excessive nitrogen and ensure adequate potassium levels."|"Apply triazole or strobilurin fungicides when lesions first appear on lower leaves. Timely application is critical for effectiveness."|
Grape___Black_rot|"Grape black rot is caused by Guignardia bidwellii. It causes brown circular lesions on leaves and shrivels fruit into hard black mummies severely reducing harvest."|"Remove and destroy all mummified fruit and infected plant material. Prune vines to improve air circulation. Apply dormant copper sprays."|"Apply fungicides containing mancozeb or myclobutanil starting at bud break. Continue applications every 10-14 days through fruit development."|
Grape___Esca_(Black_Measles)|"Esca also known as Black Measles is a complex wood disease involving multiple fungi. It causes tiger-stripe patterns on leaves and dark spots on berries leading to vine decline."|"Avoid large pruning wounds. Seal wounds with wound protectants. Remove and destroy severely infected vines to prevent spread."|"No curative treatment exists. Apply fungicide pastes to pruning wounds as prevention. Manage vine stress through proper irrigation and nutrition."|
Grape___healthy|"The grapevine appears healthy with no visible signs of disease or pest damage. Leaves are fully developed and fruit clusters are forming normally."|"Train vines properly for good air circulation. Monitor regularly for pests and diseases. Maintain balanced soil nutrition."|"No treatment needed. Continue routine vineyard management including canopy management and balanced fertilization."|
Grape___Leaf_blight_(Isariopsis_Leaf_Spot)|"Grape leaf blight caused by Isariopsis clavispora produces dark brown angular lesions on leaves leading to premature defoliation and reduced photosynthesis."|"Remove infected leaves and plant debris. Improve air circulation through canopy management. Avoid overhead irrigation."|"Apply copper-based fungicides or mancozeb at the first sign of infection. Repeat applications every 10-14 days during wet seasons."|
Orange___Haunglongbing_(Citrus_greening)|"Huanglongbing or citrus greening is caused by the bacterium Candidatus Liberibacter and spread by the Asian citrus psyllid. It causes blotchy yellowing of leaves misshapen bitter fruit and eventual tree death."|"Control Asian citrus psyllid populations with insecticides. Remove and destroy infected trees promptly. Use certified disease-free planting material."|"No cure exists. Manage psyllid vectors aggressively with systemic insecticides. Nutritional sprays can temporarily improve tree appearance but do not cure the disease."|
Peach___Bacterial_spot|"Bacterial spot on peach is caused by Xanthomonas arboricola. It produces small water-soaked spots on leaves that turn brown and fall out giving a shot-hole appearance and affects fruit quality."|"Plant resistant varieties. Avoid overhead irrigation. Prune to improve air circulation. Avoid working in orchards when wet."|"Apply copper-based bactericides during dormancy and at early leaf development. Multiple applications may be needed during wet weather."|
Peach___healthy|"The peach tree appears healthy with no visible signs of disease or pest damage. Leaves are bright green and fruit development is progressing normally."|"Maintain proper pruning for open canopy structure. Monitor for peach leaf curl and other common diseases in spring."|"No treatment needed. Continue routine care including thinning fruit for better size and quality."|
Pepper,_bell___Bacterial_spot|"Bacterial spot on bell pepper is caused by Xanthomonas campestris. It produces small water-soaked spots on leaves and fruit that enlarge and turn brown causing defoliation and yield loss."|"Use certified disease-free seed. Avoid overhead irrigation. Rotate crops away from pepper and tomato. Remove crop debris after harvest."|"Apply copper-based bactericides preventively. Combined applications with mancozeb can improve effectiveness. Begin at transplanting and continue on a regular schedule."|
Pepper,_bell___healthy|"The bell pepper plant appears healthy with no visible signs of disease or pest damage. Foliage is deep green and fruit set is progressing normally."|"Maintain consistent moisture. Use mulch to prevent soil splash. Monitor regularly for early signs of bacterial or fungal diseases."|"No treatment needed. Continue routine care including staking plants and balanced fertilization for optimal fruit development."|
Potato___Early_blight|"Early blight of potato is caused by Alternaria solani. It produces dark brown to black lesions with concentric rings on older leaves causing premature defoliation and tuber quality issues."|"Plant certified disease-free seed tubers. Rotate crops. Maintain adequate soil fertility especially nitrogen. Avoid overhead irrigation."|"Apply fungicides such as chlorothalonil or mancozeb at first sign of disease. Begin applications when plants reach 6 inches tall as a preventive measure."|
Potato___healthy|"The potato plant appears healthy with no visible signs of disease or pest damage. Foliage is lush green and tuber development is progressing normally."|"Use certified seed potatoes. Hill soil around plants to prevent tuber greening. Monitor for Colorado potato beetle and other pests."|"No treatment needed. Maintain consistent irrigation and fertilization throughout the growing season."|
Potato___Late_blight|"Late blight is caused by Phytophthora infestans and was responsible for the Irish Potato Famine. It causes water-soaked lesions that rapidly turn brown and destroy entire plants in wet conditions."|"Plant resistant varieties. Use certified disease-free seed. Avoid overhead irrigation. Destroy volunteer potato plants."|"Apply fungicides containing chlorothalonil mancozeb or metalaxyl preventively. Begin before disease onset and repeat every 5-7 days during wet weather."|
Raspberry___healthy|"The raspberry plant appears healthy with no visible signs of disease or pest damage. Canes are vigorous and foliage is a healthy green color."|"Prune out old canes after fruiting. Ensure good drainage and air circulation. Monitor for aphids and spider mites."|"No treatment needed. Continue routine care including trellising canes and mulching around the base of plants."|
Soybean___healthy|"The soybean plant appears healthy with no visible signs of disease or pest damage. Leaves are trifoliate and green with normal nodulation on roots."|"Rotate with non-legume crops. Use certified disease-free seed. Monitor fields regularly for sudden death syndrome and soybean cyst nematode."|"No treatment needed. Maintain optimal planting density and soil fertility for maximum yield potential."|
Squash___Powdery_mildew|"Powdery mildew on squash is caused by Podosphaera xanthii. It produces white powdery fungal growth on leaf surfaces causing yellowing premature leaf death and reduced fruit yield."|"Plant resistant varieties. Space plants for good air circulation. Avoid overhead watering. Remove infected leaves promptly."|"Apply sulfur-based fungicides potassium bicarbonate or neem oil at first sign of infection. Repeat every 7-10 days. Baking soda solution can also help."|
Strawberry___healthy|"The strawberry plant appears healthy with no visible signs of disease or pest damage. Leaves are trifoliate and green with normal runner production."|"Renovate beds after harvest. Control weeds. Use drip irrigation to keep foliage dry. Mulch with straw to prevent soil splash."|"No treatment needed. Continue routine care including runner management and fertilization after harvest."|
Strawberry___Leaf_scorch|"Leaf scorch on strawberry is caused by Diplocarpon earlianum. It produces small dark purple spots on leaves that enlarge and coalesce causing the leaf to appear scorched and leading to defoliation."|"Use certified disease-free transplants. Remove infected leaves. Avoid overhead irrigation. Ensure good air circulation between plants."|"Apply fungicides such as captan or myclobutanil at first sign of disease. Remove and destroy heavily infected leaves and plant debris."|
Tomato___Bacterial_spot|"Bacterial spot on tomato is caused by Xanthomonas species. It produces small water-soaked spots on leaves stems and fruit that turn brown causing defoliation and fruit blemishes reducing marketability."|"Use certified disease-free seed and transplants. Avoid overhead irrigation. Rotate crops. Remove and destroy infected plant debris."|"Apply copper-based bactericides preventively and after rain events. Tank-mix with mancozeb for improved efficacy. Begin at transplanting."|
Tomato___Early_blight|"Early blight on tomato is caused by Alternaria solani. It produces dark brown concentric ring lesions on older leaves causing them to yellow and drop reducing plant vigor and yield."|"Rotate crops. Use mulch to prevent soil splash. Remove lower infected leaves. Maintain good plant nutrition especially nitrogen."|"Apply chlorothalonil mancozeb or copper fungicides at first sign of disease. Repeat every 7-10 days during wet weather. Remove infected leaves."|
Tomato___healthy|"The tomato plant appears healthy with no visible signs of disease or pest damage. Leaves are dark green and fruit development is progressing normally."|"Support plants with stakes or cages. Use drip irrigation. Monitor regularly for early blight late blight and tomato hornworm."|"No treatment needed. Continue routine care including regular fertilization and consistent watering to prevent blossom end rot."|
Tomato___Late_blight|"Late blight on tomato is caused by Phytophthora infestans. It rapidly destroys leaves stems and fruit with large brown water-soaked lesions especially in cool wet conditions."|"Plant resistant varieties. Avoid overhead irrigation. Ensure good air circulation. Remove volunteer tomato and potato plants nearby."|"Apply fungicides containing chlorothalonil mancozeb or cymoxanil preventively. Begin before disease onset and reapply every 5-7 days in wet weather."|
Tomato___Leaf_Mold|"Leaf mold is caused by Passalora fulva and is most common in greenhouse tomatoes. It produces pale green to yellow spots on upper leaf surfaces with olive-green mold on the underside."|"Reduce humidity in greenhouses. Improve ventilation. Avoid overhead irrigation. Remove and destroy infected leaves."|"Apply fungicides such as chlorothalonil or copper-based products at first sign of infection. Improve air circulation immediately."|
Tomato___Mosaic_virus|"Tomato mosaic virus causes mottled light and dark green patterns on leaves leaf distortion stunted growth and reduced fruit quality. It is spread by contact and contaminated tools."|"Use resistant varieties. Disinfect tools with bleach solution. Wash hands before handling plants. Control aphid vectors."|"No cure exists for viral infections. Remove and destroy infected plants to prevent spread. Control insect vectors with appropriate insecticides."|
Tomato___Septoria_leaf_spot|"Septoria leaf spot is caused by Septoria lycopersici. It produces small circular spots with dark borders and light centers on lower leaves causing progressive defoliation from the bottom up."|"Rotate crops for at least 2 years. Remove infected lower leaves. Use mulch to reduce soil splash. Stake plants for better air circulation."|"Apply fungicides such as chlorothalonil mancozeb or copper at first sign of disease. Remove infected leaves before applying fungicide."|
Tomato___Spider_mites Two-spotted_spider_mite|"Two-spotted spider mites cause stippled yellowing leaves webbing on plant surfaces and eventual leaf drop. They thrive in hot dry conditions and can rapidly colonize tomato plants."|"Maintain adequate irrigation as drought stress promotes mite outbreaks. Encourage natural predators. Avoid broad-spectrum insecticides that kill beneficial insects."|"Apply miticides such as abamectin or bifenazate. Insecticidal soap and neem oil are effective for light infestations. Repeat applications every 5-7 days."|
Tomato___Target_Spot|"Target spot on tomato is caused by Corynespora cassiicola. It produces brown circular lesions with concentric rings resembling a target on leaves stems and fruit."|"Rotate crops. Remove infected plant debris. Avoid overhead irrigation. Maintain good air circulation through proper staking and pruning."|"Apply fungicides containing azoxystrobin or chlorothalonil at first sign of disease. Repeat every 10-14 days. Remove heavily infected leaves."|
Tomato___Tomato_Yellow_Leaf_Curl_Virus|"Tomato yellow leaf curl virus is transmitted by the silverleaf whitefly. It causes upward leaf curling yellowing stunted growth and severe yield loss. Infected plants rarely recover."|"Use resistant tomato varieties. Control whitefly populations with yellow sticky traps and insecticides. Use reflective mulches to deter whiteflies."|"No cure for the virus. Remove and destroy infected plants. Apply systemic insecticides to control whitefly vectors. Use insect-proof nets in greenhouses."|
